Breed_ID,Breed_name,AltBreedName,PetGroup1,PetGroup2,MaleWtLb,Fur_Length,Avg_life_time,Temperament,Pet_Category_ID
0001,Teemo,,,,11,Long,100,Easy to give up. Lol CREATE THIS ROW FOR OUR OWN DOG Lol,1
0002,Affenpinscher,,Toy,Companion,9,,11.42,"Active, Adventurous, Curious, Fun-loving, Playful, Stubborn",1
0003,Afghan Hound,,Sporting,Sight,62,,11.92,"Aloof, Clownish, Dignified, Happy, Independent",1
0004,African Hunting Dog,,,,51,,10.75,Wild,1
0005,Airedale Terrier,Airedale,Terrier,Terrier,57,,,"Alert, Confident, Courageous, Friendly, Intelligent, Outgoing",1
0006,Akbash,,Working,Guardian,117,,,"Affectionate, Alert, Courageous, Independent, Intelligent, Loyal",1
0007,Akita,,Working,Herding,97,,9.92,"Alert, Courageous, Dignified, Docile, Friendly, Intelligent, Responsive",1
0008,Alaskan Malamute,Malamute,Working,0rthern,88,,10.71,"Affectionate, Devoted, Dignified, Friendly, Loyal, Playful",1
0009,American Bulldog,,Working,Guardian,84,,,"Affectionate, Alert, Courageous, Energetic, Gentle, Loving, Out-going, Social",1
0010,American Eskimo Dog,,0n Sporting,0rthern,18,,,"Alert, Energetic, Friendly, Independent, Intelligent, Protective",1
0011,American Staffordshire Terrier,,Terrier,Terrier,62,,,"Attentive, Courageous, Devoted, Friendly, Loyal, Tenacious, Intelligent",1
0012,American Hairless Terrier,,Terrier,Terrier,11,,,"Alert, Lively, Loving, Intelligent, Inquisitive, Playful",1
0013,American Water Spaniel,,Sporting,Gun,35,,,"Energetic, Friendly, Intelligent, Obedient, Protective, Trainable",1
0014,Anatolian Shepherd,,Working,Guardian,115,,,"Bold, Confident, Independent, Intelligent, Proud, Steady",1
0015,Appenzell Mountain Dog,Appenzeller,Working,Guardian,60,,,"Energetic, Fearless, Lively, Reliable, Self-assured, Social",1
0016,Australian Cattle Dog/Blue Heeler,,Herding,Herding,46,,11.67,"Aggressive, Alert, Energetic, Intelligent, Loyal, Protective, Responsive",1
