Request_ID,Pet_ID,User_ID,Request_date,Date_of_travel,Date_of_return
10000001,10000084,10000043,3/21/12,5/4/12,7/25/12
10000002,10000154,10000067,4/19/18,7/27/18,8/20/18
10000003,10000012,10000008,7/12/20,9/5/20,11/21/20
10000004,10000123,10000104,4/7/21,6/7/21,6/28/21
10000005,10000067,10000021,9/18/14,10/7/14,12/29/14
10000006,10000061,10000024,1/29/21,4/3/21,5/6/21
10000007,10000017,10000008,8/3/19,8/20/19,10/2/19
10000008,10000135,10000080,6/3/21,8/13/21,10/5/21
10000009,10000009,10000001,9/18/18,12/20/18,1/19/19
10000010,10000056,10000070,8/6/11,11/9/11,12/13/11
10000011,10000164,10000076,7/25/15,7/30/15,8/5/15
10000012,10000009,10000004,11/5/20,12/26/20,2/19/21
10000013,10000076,10000052,3/8/13,4/20/13,6/7/13
10000014,10000072,10000037,3/14/20,4/9/20,4/21/20
10000015,10000163,10000008,8/5/18,9/27/18,10/5/18
10000016,10000067,10000018,1/9/14,2/14/14,3/8/14
10000017,10000043,10000020,12/5/12,12/26/12,1/21/13
10000018,10000097,10000078,2/3/17,3/28/17,5/3/17
10000019,10000098,10000090,7/28/14,10/16/14,12/19/14
10000020,10000158,10000079,7/12/15,10/15/15,12/3/15
10000021,10000125,10000027,12/2/14,1/31/15,4/9/15
10000022,10000081,10000059,12/23/18,1/21/19,2/16/19
10000023,10000136,10000038,5/6/16,7/28/16,8/16/16
10000024,10000056,10000104,10/27/11,11/28/11,12/26/11
10000025,10000011,10000101,10/8/18,12/25/18,3/4/19
10000026,10000070,10000082,8/8/13,9/17/13,11/11/13
10000027,10000023,10000002,11/17/21,11/19/21,1/17/22
10000028,10000120,10000069,4/20/20,7/18/20,8/1/20
10000029,10000032,10000020,5/26/22,6/9/22,9/10/22
10000030,10000160,10000002,5/6/17,7/20/17,9/14/17
10000031,10000036,10000105,5/9/20,5/31/20,6/23/20
10000032,10000065,10000027,3/22/21,4/8/21,4/11/21
10000033,10000071,10000090,7/13/20,9/2/20,9/8/20
10000034,10000056,10000104,12/23/11,1/27/12,3/1/12
10000035,10000126,10000072,9/6/14,9/25/14,12/9/14
10000036,10000113,10000056,6/2/13,6/11/13,9/10/13
10000037,10000136,10000055,8/9/17,9/22/17,10/20/17
10000038,10000033,10000018,2/4/10,5/14/10,7/26/10
10000039,10000022,10000101,1/18/13,3/25/13,5/27/13
10000040,10000143,10000076,7/10/14,9/5/14,9/10/14
