Groomer_ID,Groomer_Name,City,State
101,Petco,Austin,TX
102,Bravado Dog Grooming,Austin,TX
103,Mod Mutt Salon,Austin,TX
104,Lucky Dog Grooming,Austin,TX
105,SOCO Pet Lounge,Austin,TX
106,West End Grooming,Austin,TX
107,Petco,Berkeley,CA
108,Wizard of Paws,Berkeley,CA
109,Wag The Pet Spa,Berkeley,CA
110,Tail A Go-Go,Berkeley,CA
111,Kutz For Mutz,Berkeley,CA
112,Leading the Pack,Berkeley,CA
113,SpaGo Dog,Berkeley,CA
114,Bubbles Dog Grooming,Los Angeles,CA
115,Olympic Pet Shop,Los Angeles,CA
116,Petco,Los Angeles,CA
117,Honey Grooming,Los Angeles,CA
118,Pampered Tails,Los Angeles,CA
119,Hollywood Pets,Los Angeles,CA
120,Joy Dog Grooming,Los Angeles,CA
121,Mynors Pet Grooming,Long Beach,CA
122,Cindy's Dog Grooming,Long Beach,CA
123,Orange Bone,Long Beach,CA
124,The Pet Set,Long Beach,CA
125,Belmont Pets & LaunderPet,Long Beach,CA
126,Wrigley's Pet Spaw,Long Beach,CA
127,Paws In Chelsea,New York City,NY
128,Le Pet Spa,New York City,NY
129,Good Dog! Private Pet Grooming,New York City,NY
130,WANDA'S PET GROOMING L.L.C.,New York City,NY
131,The Seaport Paw,New York City,NY
132,Grooming 4 Less,New York City,NY
133,The Pet Maven LLC,New York City,NY
134,&G Pet Grooming,Pasadena,CA
135,Bathe R Doggie,Pasadena,CA
136,Dashing Dogs and Cats Mobile Salon,Pasadena,CA
137,ROSES PAMPERED PETS,Pasadena,CA
138,Dog's Best Friend Inc,Pasadena,CA
139,Fluffy Puppy,Pasadena,CA
140,Critter Corral Pet Grooming,Phoneix,AZ
141,Shedding Clean Pet Grooming,Phoneix,AZ
142,The Hairy Dog,Phoneix,AZ
143,Betty's Dog Wash & Grooming,Phoneix,AZ
144,DogTown Pet resort and Spa,Phoneix,AZ
145,R & R Pet Resort,Phoneix,AZ
146,Helga's Pet Grooming Plus,San Antonio,TX
147,Lucky Dog Pet Grooming,San Antonio,TX
148,Clip&Care Dog Grooming,San Antonio,TX
149,Go Pawz Go mobile pet salon,San Antonio,TX
150,Le Paws Pet Grooming Salon,San Antonio,TX
151,Happy Scrappy Mobile Pet Grooming,San Antonio,TX
152,Dapper Doggery,San Diego,CA
153,Petco,San Diego,CA
154,PetSmart,San Diego,CA
155,Debbie's Pet Grooming,San Diego,CA
156,Sydnee's Pet Grooming La Jolla,San Diego,CA
157,Pet Palace,San Diego,CA
158,Barkhouse,San Diego,CA
159,Absolute Pawfection,San Diego,CA
160,Showtime Pet Grooming,San Jose,CA
161,Quality Pet Spot Willow Glen,San Jose,CA
162,the Groomery,San Jose,CA
163,All 4's Grooming,San Jose,CA
164,The Dog Pawlor,San Jose,CA
165,Lush Spaw,San Jose,CA
166,Puppy Cutz,San Jose,CA
167,The Dog Pawlor,San Jose,CA
168,Star Grooming,West Lafayette,IN
169,Tiffany's Pet Salon,West Lafayette,IN
170,"Pawsitive Pets, LLC",West Lafayette,IN
171,Pups In Bubbles Pet Spa,West Lafayette,IN
172,Klondike Kennels,West Lafayette,IN
173,Petco,West Lafayette,IN
174,Petsburgh Pet Care Inc,West Lafayette,IN
