IRecord_ID,Insurance_company_ID,Pet_ID,Cost_per_year,Date_Start
1000001,001,10000004,387,2020-04-28
1000002,001,10000003,514,2020-04-28
1000003,001,10000001,517,2020-04-28
1000004,001,10000002,496,2020-04-28
1000005,002,10000007,441,2020-04-19
1000006,002,10000005,393,2020-04-18
1000007,002,10000006,363,2020-04-24
1000008,002,10000008,504,2020-04-21
1000009,003,10000011,523,2020-04-18
1000010,003,10000009,523,2020-04-19
1000011,003,10000010,468,2020-04-25
1000012,004,10000016,532,2020-04-22
1000013,004,10000014,434,2020-04-19
1000014,005,10000015,376,2020-04-20
1000015,005,10000017,505,2020-04-23
1000016,005,10000018,517,2020-04-25
1000017,005,10000019,356,2020-04-27
1000018,006,10000021,401,2020-04-23
1000019,006,10000022,492,2020-04-25
1000020,007,10000020,407,2020-04-25
1000021,007,10000023,525,2020-04-20
1000022,007,10000025,388,2020-04-23
1000023,007,10000024,498,2020-04-26
1000024,008,10000028,442,2020-04-27
1000025,008,10000031,531,2020-04-22
1000026,009,10000029,454,2020-04-22
1000027,009,10000030,367,2020-04-27
1000028,010,10000032,414,2020-04-19
1000029,010,10000033,475,2020-04-25
1000030,010,10000035,422,2020-04-19
1000031,010,10000034,429,2020-04-18
1000032,011,10000036,364,2020-04-19
1000033,012,10000037,414,2020-04-24
1000034,001,10000039,466,2020-04-22
1000035,001,10000040,418,2020-04-22
1000036,001,10000041,468,2020-04-19
1000037,002,10000038,528,2020-04-25
1000038,003,10000043,549,2020-04-26
1000039,003,10000042,463,2020-04-19
1000040,003,10000045,437,2020-04-24
1000041,003,10000046,502,2020-04-23
1000042,004,10000044,394,2020-04-23
1000043,004,10000047,511,2020-04-21
1000044,005,10000049,353,2020-04-19
1000045,005,10000048,428,2020-04-21
1000046,005,10000050,522,2020-04-20
1000047,006,10000051,547,2020-04-27
1000048,006,10000053,381,2020-04-18
1000049,006,10000054,388,2020-04-21
1000050,007,10000052,381,2020-04-18
1000051,008,10000056,523,2020-04-27
1000052,009,10000057,456,2020-04-21
1000053,009,10000055,357,2020-04-20
1000054,009,10000058,519,2020-04-19
1000055,010,10000059,524,2020-04-24
1000056,010,10000060,538,2020-04-21
1000057,010,10000061,464,2020-04-26
1000058,011,10000063,547,2020-04-18
1000059,012,10000065,437,2020-04-22
1000060,012,10000064,539,2020-04-24
1000061,012,10000062,380,2020-04-25
1000062,012,10000066,498,2020-04-19
1000063,012,10000067,436,2020-04-25
1000064,012,10000068,471,2020-04-20
1000065,012,10000069,419,2020-04-23
1000066,010,10000070,452,2020-04-27
1000067,010,10000074,532,2020-04-26
1000068,002,10000076,380,2020-04-21
1000069,002,10000075,450,2020-04-25
1000070,002,10000077,516,2020-04-26
1000071,002,10000078,511,2020-04-23
1000072,002,10000083,363,2020-04-21
1000073,002,10000084,381,2020-04-23
1000074,002,10000085,404,2020-04-24
1000075,002,10000086,534,2020-04-18
1000076,002,10000087,549,2020-04-21
1000077,002,10000088,474,2020-04-21
1000078,002,10000089,376,2020-04-18
1000079,002,10000090,525,2020-04-27
1000080,002,10000093,498,2020-04-25
1000081,006,10000091,446,2020-04-22
1000082,006,10000092,407,2020-04-27
1000083,006,10000094,484,2020-04-21
1000084,006,10000095,434,2020-04-22
1000085,006,10000096,401,2020-04-24
1000086,006,10000098,440,2020-04-23
1000087,006,10000097,507,2020-04-26
1000088,006,10000099,375,2020-04-22
1000089,006,10000102,368,2020-04-22
1000090,006,10000100,416,2020-04-18
1000091,006,10000101,493,2020-04-21
1000092,006,10000103,496,2020-04-20
1000093,006,10000104,513,2020-04-20
1000094,003,10000105,495,2020-04-20
1000095,003,10000106,417,2020-04-18
1000096,003,10000107,457,2020-04-21
1000097,003,10000108,422,2020-04-22
1000098,003,10000110,391,2020-04-23
1000099,003,10000109,441,2020-04-26
1000100,003,10000111,366,2020-04-25
1000101,008,10000113,386,2020-04-18
1000102,008,10000112,399,2020-04-21
