Veterinary_ID,Veterinary_Name,City,State
001,Sand Creek Animal Hospital,Berkeley,CA
002,The Village Animal Clinic,Berkeley,CA
003,Matthew Horwich LLC,Berkeley,CA
004,Upstate Veterinary Specialties,San Diego,CA
005,Equine Clinic at OakenCroft,San Diego,CA
006,BURNT HILLS VETERINARY CLINIC,San Diego,CA
007,BANFIELD THE PET HOSPITAL,San Diego,CA
008,Albany County Veterinary Hospital,San Diego,CA
009,Oakwood Veterinary Clinic,San Diego,CA
010,NASSAU VETERINARY CLINIC,San Diego,CA
011,Paws Crossing Pet Resort & Spa,San Jose,CA
012,Kensington Veterinary Hospital,San Jose,CA
013,Broadway Pet Hospital,San Jose,CA
014,The Animal Doctor,San Francisco,CA
015,Chabot Veterinary Clinic,San Francisco,CA
016,Codornices Veterinary Clinic,San Francisco,CA
017,The Country Vet,San Francisco,CA
018,East Bay SPCA - Oakland,San Francisco,CA
019,VCA Holly Street Animal Hospital,San Francisco,CA
020,FAIRFAX VETERINARY CLINIC,San Francisco,CA
021,PetSmart - Valencia,Los Angeles,CA
022,Caring Hands Veterinary Hospital,Los Angeles,CA
023,WASHINGTON BLVD ANIMAL HOSPITAL,Los Angeles,CA
024,Point Vicente Animal Hospital,Los Angeles,CA
025,Veterinary Medical Center,Los Angeles,CA
026,VCA A Breed Apart Animal Hospital,Los Angeles,CA
027,0rth Hollywood Animal Care,Los Angeles,CA
028,TLC Pet Medical Centers,Los Angeles,CA
029,CAMI0 ANIMAL CLINIC,El Cerrito,CA
030,Newport Pet Clinic,Long Beach,CA
031,Pasadena Pets Veterinary Hospital,Long Beach,CA
032,VCA Los Altos Animal Hospital,Long Beach,CA
033,Redwood Animal Hospital,Long Beach,CA
034,PORTER PET HOSPITAL,Long Beach,CA
035,VCA Animal Hospital (Burbank),Long Beach,CA
036,Harbor Animal Hospital,Pasadena,CA
037,Hancock Park Veterinary Clinic,Pasadena,CA
038,CALIFORNIA CAT CENTER,Pasadena,CA
039,VCA Animal Hospital (Burbank),Pasadena,CA
040,RAYMOND AVENUE VETERINARY ANIMAL HOSPITAL,Pasadena,CA
041,Westlake Village Animal Hospital,Pasadena,CA
042,West Valley Pet Clinic,West Lafayette,CA
043,Andover Animal Hospital,San Antonio,TX
044,PEOPLE-ANIMAL SPAY & NEUTER,San Antonio,TX
045,Oakhurst Veterinary Hospital,Austin,TX
046,CompleteCare Veterinary Center,Phonenix,AZ
047,Madison Animal Hospital,New York City,NY
048,Flushing Veterinary Hospital,New York City,NY
049,ASSISI VETERINARY HOSPITAL,New York City,NY
050,Bronx Veterinary Center,New York City,NY
051,Berkshire Veterinary Hospital,New York City,NY
052,Ridgefield Park Animal Hospital,New York City,NY
